-16.922, -20.01
-16.825, -20.318
-16.732, -20.603
-16.639, -20.888
-16.546, -21.173
-16.453, -21.458
-16.356, -21.753
-16.263, -22.038
-16.17, -22.323
-16.077, -22.608
-15.984, -22.894
-15.891, -23.179
-15.798, -23.464
-15.699, -23.763
-15.589, -24.1
-15.475, -24.458
-15.362, -24.8
-15.277, -24.396
-15.392, -24.038
-15.502, -23.701
-16.627, -20.256
-16.534, -20.541
-16.441, -20.826
-16.348, -21.111
-16.255, -21.397
-16.159, -21.691
-16.066, -21.976
-15.973, -22.261
-15.88, -22.546
-15.787, -22.831
-15.694, -23.116
-15.6, -23.402
-16.725, -19.948
-15.079, -24.334
-15.194, -23.976
-15.304, -23.639
-16.429, -20.194
-16.336, -20.479
-16.243, -20.764
-16.15, -21.049
-16.057, -21.335
-15.961, -21.629
-15.868, -21.914
-15.775, -22.199
-15.682, -22.484
-15.589, -22.77
-15.496, -23.055
-15.403, -23.34
-16.527, -19.886
-14.881, -24.272
-14.996, -23.914
-15.106, -23.577
-16.231, -20.132
-16.138, -20.417
-16.045, -20.702
-15.952, -20.987
-15.859, -21.272
-15.763, -21.567
-15.67, -21.852
-15.577, -22.137
-15.484, -22.423
-15.391, -22.708
-15.298, -22.993
-15.205, -23.278
-16.329, -19.824
-14.683, -24.21
-14.798, -23.852
-14.908, -23.515
-16.034, -20.07
-15.941, -20.355
-15.848, -20.64
-15.754, -20.925
-15.661, -21.21
-15.565, -21.505
-15.472, -21.79
-15.379, -22.075
-15.286, -22.36
-15.193, -22.646
-15.1, -22.931
-15.007, -23.216
-16.131, -19.762
-14.486, -24.148
-14.6, -23.79
-14.71, -23.453
-15.836, -20.008
-15.743, -20.293
-15.65, -20.578
-15.557, -20.863
-15.464, -21.148
-15.367, -21.443
-15.274, -21.728
-15.181, -22.013
-15.088, -22.298
-14.995, -22.584
-14.902, -22.869
-14.809, -23.154
-15.933, -19.7
-14.448, -23.743
-14.558, -23.405
-15.683, -19.961
-15.59, -20.246
-15.497, -20.531
-15.404, -20.816
-15.311, -21.101
-15.215, -21.396
-15.122, -21.681
-15.029, -21.966
-14.936, -22.251
-14.843, -22.536
-14.75, -22.821
-14.656, -23.106
-15.781, -19.653
-14.25, -23.681
-14.36, -23.343
-15.485, -19.898
-15.392, -20.184
-15.299, -20.469
-15.206, -20.754
-15.113, -21.039
-15.017, -21.334
-14.924, -21.619
-14.831, -21.904
-14.738, -22.189
-14.645, -22.474
-14.552, -22.759
